"Age","BusinessTravel","DailyRate","DistanceFromHome","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
42,"Travel_Rarely",201,1,2,"Female",95,3,1,1,"Divorced",2576,20490,3,"No",16,3,2,1,8,5,3,5,2,1,2,"No"
49,"Travel_Rarely",1495,5,1,"Male",96,3,2,3,"Married",6651,21534,2,"No",14,3,2,1,20,0,2,3,2,1,2,"No"
29,"Travel_Rarely",1252,23,3,"Male",81,4,1,3,"Married",2700,23779,1,"No",24,4,3,1,10,3,3,10,7,0,7,"No"
40,"Travel_Rarely",759,2,4,"Female",46,3,2,2,"Divorced",5715,22553,7,"No",12,3,3,2,8,5,3,5,4,1,3,"No"
34,"Travel_Rarely",1111,8,3,"Female",93,3,2,1,"Married",6500,13305,5,"No",17,3,2,1,6,1,3,3,2,1,2,"No"
28,"Travel_Rarely",1117,8,4,"Female",66,3,1,4,"Single",3310,4488,1,"No",21,4,4,0,5,3,3,5,3,0,2,"No"
26,"Travel_Rarely",390,17,4,"Male",62,1,1,3,"Married",2305,6217,1,"No",15,3,3,3,3,3,4,3,2,0,2,"No"
46,"Travel_Rarely",1003,8,4,"Female",74,2,2,1,"Divorced",4615,21029,8,"Yes",23,4,1,3,19,2,3,16,13,1,7,"No"
27,"Travel_Frequently",829,8,3,"Male",84,3,2,4,"Married",4342,24008,0,"No",19,3,2,1,5,3,3,4,2,1,1,"No"
29,"Travel_Rarely",1401,6,2,"Female",54,3,1,4,"Married",3131,26342,1,"No",13,3,1,1,10,5,3,10,8,0,8,"No"
39,"Travel_Rarely",116,24,1,"Male",52,3,2,4,"Single",4108,5340,7,"No",13,3,1,0,18,2,3,7,7,1,7,"No"
51,"Travel_Rarely",770,5,3,"Male",84,3,4,2,"Divorced",14026,17588,1,"Yes",11,3,2,1,33,2,3,33,9,0,10,"No"
42,"Travel_Rarely",622,2,3,"Female",81,3,2,4,"Married",4089,5718,1,"No",13,3,2,2,10,4,3,10,2,2,2,"No"
27,"Travel_Rarely",798,6,1,"Female",66,2,1,3,"Divorced",2187,5013,0,"No",12,3,3,2,6,5,2,5,3,0,3,"No"
35,"Travel_Rarely",1224,7,3,"Female",55,3,2,4,"Married",5204,13586,1,"Yes",11,3,4,0,10,2,3,10,8,0,9,"No"
27,"Travel_Rarely",975,7,4,"Female",55,2,2,1,"Single",6811,23398,8,"No",19,3,1,0,9,2,1,7,6,0,7,"No"
40,"Travel_Frequently",593,9,2,"Female",88,3,3,3,"Single",13499,13782,9,"No",17,3,3,0,20,3,2,18,7,2,13,"No"
39,"Travel_Frequently",945,22,4,"Female",82,3,3,1,"Single",10880,5083,1,"Yes",13,3,3,0,21,2,3,21,6,2,8,"No"
49,"Non-Travel",1002,18,4,"Male",92,3,2,4,"Divorced",6804,23793,1,"Yes",15,3,1,2,7,0,3,7,7,1,7,"No"
47,"Travel_Frequently",1309,4,2,"Male",99,3,2,3,"Single",2976,25751,3,"No",19,3,1,0,5,3,3,0,0,0,0,"No"
33,"Travel_Rarely",1099,4,1,"Female",82,2,1,2,"Married",3838,8192,8,"No",11,3,4,0,8,5,3,5,4,0,2,"No"
54,"Travel_Rarely",548,8,3,"Female",42,3,2,3,"Single",3780,23428,7,"No",11,3,3,0,19,3,3,1,0,0,0,"No"
39,"Travel_Frequently",945,22,4,"Female",82,3,3,1,"Single",10880,5083,1,"Yes",13,3,3,0,21,2,3,21,6,2,8,"No"
30,"Travel_Rarely",1082,12,2,"Female",83,3,2,3,"Single",6577,19558,0,"No",11,3,2,0,6,6,3,5,4,4,4,"No"
39,"Travel_Rarely",408,2,4,"Female",80,2,2,3,"Single",4553,20978,1,"No",11,3,1,0,20,4,3,20,7,11,10,"No"
32,"Non-Travel",300,1,4,"Male",61,3,1,4,"Divorced",2314,9148,0,"No",12,3,2,1,4,2,3,3,0,0,2,"No"
54,"Travel_Rarely",584,22,2,"Female",91,3,4,3,"Married",17426,18685,3,"No",25,4,3,1,36,6,3,10,8,4,7,"No"
50,"Travel_Rarely",1464,2,2,"Male",62,3,5,3,"Married",19237,12853,2,"Yes",11,3,4,1,29,2,2,8,1,7,7,"No"
31,"Travel_Rarely",326,8,1,"Male",31,3,3,4,"Divorced",10793,8386,1,"No",18,3,1,1,13,5,3,13,7,9,9,"No"
29,"Travel_Frequently",461,1,4,"Male",70,4,2,3,"Single",6294,23060,8,"Yes",12,3,4,0,10,5,4,3,2,0,2,"No"
24,"Travel_Frequently",897,10,1,"Male",59,3,1,4,"Married",2145,2097,0,"No",14,3,4,1,3,2,3,2,2,2,1,"No"
26,"Travel_Frequently",575,1,1,"Female",71,1,1,4,"Divorced",4364,5288,3,"No",14,3,1,1,5,2,3,2,2,2,0,"No"
59,"Travel_Rarely",142,3,3,"Male",70,2,1,4,"Married",2177,8456,3,"No",17,3,1,1,7,6,3,1,0,0,0,"No"
50,"Travel_Rarely",1322,28,4,"Female",43,3,4,1,"Married",16880,22422,4,"Yes",11,3,2,0,25,2,3,3,2,1,2,"No"
40,"Travel_Rarely",1398,2,3,"Female",79,3,5,3,"Married",18041,13022,0,"No",14,3,4,0,21,2,3,20,15,1,12,"No"
56,"Travel_Rarely",1443,11,4,"Female",89,2,2,1,"Married",5380,20328,4,"No",16,3,3,1,6,3,3,0,0,0,0,"No"
29,"Travel_Frequently",1413,1,2,"Female",42,3,3,4,"Married",7918,6599,1,"No",14,3,4,1,11,5,3,11,10,4,1,"No"
41,"Travel_Rarely",642,1,4,"Male",76,3,1,4,"Married",2782,21412,3,"No",22,4,1,1,12,3,3,5,3,1,0,"No"
33,"Travel_Frequently",1392,3,4,"Female",56,3,1,3,"Married",2909,23159,1,"Yes",11,3,3,0,8,3,3,8,7,3,0,"No"
30,"Travel_Rarely",1358,16,4,"Male",96,3,2,3,"Married",5301,2939,8,"No",15,3,3,2,4,2,2,2,1,2,2,"No"
30,"Non-Travel",879,9,3,"Female",72,3,2,3,"Single",4695,12858,7,"Yes",18,3,3,0,10,3,3,8,4,1,7,"No"
45,"Non-Travel",336,26,1,"Male",52,2,2,1,"Married",4385,24162,1,"No",15,3,1,1,10,2,3,10,7,4,5,"No"
29,"Travel_Frequently",574,20,4,"Male",40,3,1,4,"Married",3812,7003,1,"No",13,3,2,0,11,3,4,11,8,3,10,"No"
39,"Travel_Frequently",945,22,4,"Female",82,3,3,1,"Single",10880,5083,1,"Yes",13,3,3,0,21,2,3,21,6,2,8,"No"
30,"Travel_Rarely",1288,29,3,"Male",33,3,3,2,"Married",9250,17799,3,"No",12,3,2,1,9,3,3,4,2,1,3,"No"
34,"Travel_Frequently",735,22,3,"Male",86,2,2,4,"Married",5747,26496,1,"Yes",15,3,2,0,16,3,3,15,10,6,11,"No"
25,"Travel_Rarely",959,28,1,"Male",41,2,2,3,"Married",8639,24835,2,"No",18,3,4,0,6,3,3,2,2,2,2,"No"
35,"Travel_Rarely",583,25,3,"Female",57,3,3,3,"Divorced",10388,6975,1,"Yes",11,3,3,1,16,3,2,16,10,10,1,"No"
28,"Travel_Rarely",1117,8,4,"Female",66,3,1,4,"Single",3310,4488,1,"No",21,4,4,0,5,3,3,5,3,0,2,"No"
39,"Travel_Rarely",722,24,2,"Female",60,2,4,4,"Married",12031,8828,0,"No",11,3,1,1,21,2,2,20,9,9,6,"No"
31,"Travel_Rarely",655,7,4,"Male",48,3,2,4,"Divorced",5915,9528,3,"No",22,4,4,1,10,3,2,7,7,1,7,"No"
49,"Travel_Rarely",1091,1,3,"Female",90,2,4,3,"Single",13964,17810,7,"Yes",12,3,4,0,25,2,3,7,1,0,7,"No"
43,"Travel_Frequently",1422,2,1,"Male",92,3,2,4,"Married",5675,19246,1,"No",20,4,3,1,7,5,3,7,7,7,7,"No"
30,"Non-Travel",111,9,3,"Male",66,3,2,1,"Divorced",3072,11012,1,"No",11,3,3,2,12,4,3,12,9,6,10,"No"
41,"Travel_Rarely",314,1,4,"Male",59,2,5,3,"Married",19189,19562,1,"No",12,3,2,1,22,3,3,22,7,2,10,"No"
39,"Travel_Rarely",1431,1,3,"Female",96,3,1,3,"Divorced",2232,15417,7,"No",14,3,3,3,7,1,3,3,2,1,2,"No"
31,"Travel_Frequently",1327,3,2,"Male",73,3,3,3,"Divorced",13675,13523,9,"No",12,3,1,1,9,3,3,2,2,2,2,"No"
32,"Travel_Rarely",801,1,3,"Female",48,3,3,4,"Married",10422,24032,1,"No",19,3,3,2,14,3,3,14,10,5,7,"No"
47,"Travel_Rarely",1225,2,2,"Female",47,4,4,2,"Divorced",15972,21086,6,"No",14,3,3,3,29,2,3,3,2,1,2,"No"
24,"Travel_Rarely",771,1,2,"Male",45,2,2,3,"Single",4617,14120,1,"No",12,3,2,0,4,2,2,4,3,1,2,"No"
40,"Travel_Frequently",791,2,3,"Female",38,4,2,2,"Married",4244,9931,1,"No",24,4,4,1,8,2,3,8,7,3,7,"No"
38,"Travel_Frequently",594,2,3,"Female",75,2,1,2,"Married",2468,15963,4,"No",14,3,2,1,9,4,2,6,1,0,5,"No"
32,"Travel_Rarely",1093,6,2,"Male",87,3,2,3,"Single",5010,24301,1,"No",16,3,1,0,12,0,3,11,8,5,7,"No"
36,"Non-Travel",635,10,2,"Male",32,3,3,4,"Single",9980,15318,1,"No",14,3,4,0,10,3,2,10,3,9,7,"No"
47,"Travel_Rarely",955,4,4,"Female",83,3,2,4,"Single",4163,8571,1,"Yes",17,3,3,0,9,0,3,9,0,0,7,"No"
40,"Non-Travel",458,16,3,"Male",74,3,1,3,"Divorced",3544,8532,9,"No",16,3,2,1,6,0,3,4,2,0,0,"No"
50,"Non-Travel",145,1,4,"Female",95,3,2,3,"Married",6347,24920,0,"No",12,3,1,1,19,3,3,18,7,0,13,"No"
50,"Travel_Rarely",813,17,4,"Female",50,2,3,1,"Divorced",13269,21981,5,"No",15,3,3,3,19,3,3,14,11,1,11,"No"
42,"Travel_Rarely",647,4,2,"Male",45,3,2,1,"Single",5155,2253,7,"No",13,3,4,0,9,3,4,6,4,1,5,"No"
23,"Travel_Rarely",885,4,1,"Male",58,4,1,1,"Married",2819,8544,2,"No",16,3,1,1,5,3,4,3,2,0,2,"No"
27,"Travel_Frequently",793,2,4,"Male",43,1,2,4,"Single",5071,20392,3,"No",20,4,2,0,8,3,3,6,2,0,0,"No"
47,"Travel_Frequently",1309,4,2,"Male",99,3,2,3,"Single",2976,25751,3,"No",19,3,1,0,5,3,3,0,0,0,0,"No"
40,"Travel_Rarely",759,2,4,"Female",46,3,2,2,"Divorced",5715,22553,7,"No",12,3,3,2,8,5,3,5,4,1,3,"No"
28,"Travel_Rarely",1144,10,4,"Male",74,3,1,2,"Married",1052,23384,1,"No",22,4,2,0,1,5,3,1,0,0,0,"No"
40,"Travel_Rarely",1342,9,1,"Male",47,3,2,1,"Married",5473,19345,0,"No",12,3,4,0,9,5,4,8,4,7,1,"No"
28,"Travel_Rarely",580,27,2,"Female",39,1,2,1,"Divorced",4877,20460,0,"No",21,4,2,1,6,5,2,5,3,0,0,"No"
30,"Travel_Rarely",1339,5,2,"Female",41,3,3,4,"Married",9419,8053,2,"No",12,3,3,1,12,2,3,10,9,7,4,"No"
29,"Travel_Rarely",694,1,4,"Female",87,2,4,4,"Divorced",16124,3423,3,"No",14,3,2,2,9,2,2,7,7,1,7,"No"
45,"Travel_Rarely",556,25,2,"Female",93,2,2,4,"Married",5906,23888,0,"No",13,3,4,2,10,2,2,9,8,3,8,"No"
45,"Travel_Frequently",364,25,2,"Female",83,3,5,2,"Single",18061,13035,3,"No",22,4,3,0,22,4,3,0,0,0,0,"No"
37,"Non-Travel",1063,25,2,"Female",72,3,2,3,"Married",4449,23866,3,"Yes",15,3,1,2,15,2,3,13,11,10,7,"No"
23,"Travel_Rarely",885,4,1,"Male",58,4,1,1,"Married",2819,8544,2,"No",16,3,1,1,5,3,4,3,2,0,2,"No"
25,"Travel_Rarely",1372,18,1,"Male",93,4,2,3,"Married",6232,12477,2,"No",11,3,2,0,6,3,2,3,2,1,2,"No"
36,"Travel_Rarely",1266,10,2,"Female",63,2,2,3,"Married",5673,6060,1,"Yes",13,3,1,1,10,4,3,10,9,1,7,"No"
34,"Travel_Rarely",971,1,4,"Male",64,2,3,3,"Married",7083,12288,1,"Yes",14,3,4,0,10,3,3,10,9,8,6,"No"
34,"Travel_Rarely",735,3,4,"Female",75,2,2,4,"Married",8103,16495,3,"Yes",12,3,3,0,9,3,2,4,2,0,1,"No"
53,"Travel_Rarely",346,6,4,"Male",86,3,2,4,"Single",2450,10919,2,"No",17,3,4,0,19,4,3,2,2,2,2,"No"
32,"Non-Travel",953,5,2,"Male",65,3,1,2,"Single",2718,17674,2,"No",14,3,2,0,12,3,3,7,7,0,7,"No"
35,"Travel_Rarely",1214,1,2,"Male",30,2,1,3,"Single",2859,26278,1,"No",18,3,1,0,6,3,3,6,4,0,4,"No"
31,"Travel_Rarely",408,9,3,"Male",42,2,1,2,"Single",2657,7551,0,"Yes",16,3,4,0,3,5,3,2,2,2,2,"No"
41,"Travel_Rarely",427,10,2,"Male",73,2,5,4,"Divorced",19141,8861,3,"No",15,3,2,3,23,2,2,21,6,12,6,"No"
39,"Travel_Rarely",408,2,4,"Female",80,2,2,3,"Single",4553,20978,1,"No",11,3,1,0,20,4,3,20,7,11,10,"No"
52,"Travel_Rarely",319,3,4,"Male",39,2,3,3,"Married",7969,19609,2,"Yes",14,3,3,0,28,4,3,5,4,0,4,"No"
23,"Travel_Rarely",310,10,1,"Male",79,4,1,3,"Single",3505,19630,1,"No",18,3,4,0,2,3,3,2,2,0,2,"No"
35,"Travel_Rarely",1017,6,2,"Male",82,1,2,4,"Single",6646,19368,1,"No",13,3,2,0,17,3,3,17,11,11,8,"No"
41,"Travel_Rarely",645,1,2,"Male",49,4,3,1,"Married",8392,19566,1,"No",16,3,3,1,10,2,3,10,7,0,7,"No"
49,"Travel_Rarely",465,6,3,"Female",41,2,4,3,"Married",13966,11652,2,"Yes",19,3,2,1,30,3,3,15,11,2,12,"No"
31,"Non-Travel",325,5,2,"Male",74,3,2,1,"Single",9936,3787,0,"No",19,3,2,0,10,2,3,9,4,1,7,"No"
34,"Travel_Rarely",1351,1,2,"Male",45,3,2,4,"Married",5484,13008,9,"No",17,3,2,1,9,3,2,2,2,2,1,"No"
29,"Travel_Rarely",1010,1,1,"Female",97,3,1,4,"Divorced",3760,5598,1,"No",15,3,1,3,3,5,3,3,2,1,2,"No"
32,"Travel_Frequently",1316,2,4,"Female",38,3,2,3,"Single",4998,2338,4,"Yes",14,3,4,0,10,2,3,8,7,0,7,"No"
30,"Travel_Rarely",1329,29,3,"Male",61,3,2,1,"Divorced",4115,13192,8,"No",19,3,3,3,8,3,3,4,3,0,3,"No"
41,"Travel_Rarely",483,6,4,"Male",95,2,2,2,"Single",6032,10110,6,"Yes",15,3,4,0,8,3,3,5,4,1,2,"No"
43,"Travel_Rarely",177,8,1,"Female",55,3,2,2,"Divorced",4765,23814,4,"No",21,4,3,1,4,2,4,1,0,0,0,"No"
26,"Travel_Rarely",1167,5,4,"Female",30,2,1,3,"Single",2966,21378,0,"No",18,3,4,0,5,2,3,4,2,0,0,"No"
33,"Non-Travel",750,22,3,"Male",95,3,2,2,"Married",6146,15480,0,"No",13,3,1,1,8,2,4,7,7,0,7,"No"
37,"Travel_Rarely",397,7,1,"Male",30,3,3,3,"Single",13664,25258,4,"No",13,3,1,0,16,3,4,5,2,0,2,"No"
24,"Travel_Rarely",1206,17,4,"Female",41,2,2,3,"Divorced",4377,24117,1,"No",15,3,2,2,5,6,3,4,2,3,2,"No"
30,"Travel_Rarely",852,1,4,"Male",55,2,2,4,"Married",5126,15998,1,"Yes",12,3,3,2,10,1,2,10,8,3,0,"No"
39,"Travel_Rarely",119,15,2,"Male",77,3,4,1,"Single",13341,25098,0,"No",12,3,1,0,21,3,3,20,8,11,10,"No"
32,"Travel_Rarely",604,8,3,"Male",56,4,2,4,"Married",6209,11693,1,"No",15,3,3,2,10,4,4,10,7,0,8,"No"
54,"Travel_Rarely",821,5,1,"Male",86,3,5,1,"Married",19406,8509,4,"No",11,3,3,1,24,4,2,4,2,1,2,"No"
39,"Travel_Rarely",613,6,4,"Male",42,2,3,1,"Married",9991,21457,4,"No",15,3,1,1,9,5,3,7,7,1,7,"No"
50,"Travel_Rarely",1207,28,4,"Male",74,4,1,3,"Married",3221,3297,1,"Yes",11,3,3,3,20,3,3,20,8,3,8,"No"
38,"Travel_Rarely",168,1,3,"Female",81,3,3,3,"Single",7861,15397,4,"Yes",14,3,4,0,10,4,4,1,0,0,0,"No"
31,"Travel_Rarely",525,6,1,"Male",66,4,2,4,"Divorced",5460,6219,4,"No",22,4,4,2,13,4,4,7,7,5,7,"No"
32,"Travel_Frequently",967,8,2,"Female",43,3,3,4,"Single",8998,15589,1,"No",14,3,4,0,9,2,3,9,8,3,7,"No"
44,"Non-Travel",111,17,4,"Male",74,1,1,3,"Single",2290,4279,2,"No",13,3,4,0,6,3,3,0,0,0,0,"No"
20,"Travel_Rarely",959,1,4,"Female",83,2,1,2,"Single",2836,11757,1,"No",13,3,4,0,1,0,4,1,0,0,0,"No"
59,"Travel_Rarely",1324,3,3,"Female",81,4,1,1,"Married",2670,9964,4,"Yes",20,4,1,3,12,3,2,1,0,0,0,"No"
31,"Non-Travel",325,5,2,"Male",74,3,2,1,"Single",9936,3787,0,"No",19,3,2,0,10,2,3,9,4,1,7,"No"
41,"Travel_Rarely",314,1,4,"Male",59,2,5,3,"Married",19189,19562,1,"No",12,3,2,1,22,3,3,22,7,2,10,"No"
27,"Travel_Rarely",1377,2,4,"Male",74,3,2,3,"Single",4478,5242,1,"Yes",11,3,1,0,5,3,3,5,4,0,4,"No"
32,"Travel_Rarely",824,5,4,"Female",67,2,2,2,"Married",5878,15624,3,"No",12,3,1,1,12,2,3,7,1,2,5,"No"
35,"Travel_Rarely",619,1,2,"Male",85,3,2,3,"Married",4717,18659,9,"No",11,3,3,0,15,2,3,11,9,6,9,"No"
42,"Travel_Frequently",570,8,2,"Male",66,3,5,4,"Divorced",18430,16225,1,"No",13,3,2,1,24,4,2,24,7,14,9,"No"
34,"Travel_Rarely",182,1,2,"Female",72,4,1,4,"Single",3280,13551,2,"No",16,3,3,0,10,2,3,4,2,1,3,"No"
32,"Travel_Frequently",379,5,2,"Male",48,3,2,2,"Married",6524,8891,1,"No",14,3,4,1,10,3,3,10,8,5,3,"No"
45,"Travel_Rarely",1015,5,3,"Female",50,1,2,1,"Single",5769,23447,1,"Yes",14,3,1,0,10,3,3,10,7,1,4,"No"
32,"Travel_Rarely",906,7,4,"Male",91,2,2,3,"Married",5484,16985,1,"No",14,3,3,1,13,3,2,13,8,4,8,"No"
35,"Travel_Rarely",992,1,4,"Male",68,2,1,1,"Single",2450,21731,1,"No",19,3,2,0,3,3,3,3,0,1,2,"No"
46,"Travel_Rarely",1450,15,4,"Male",52,3,5,2,"Married",19081,10849,5,"No",11,3,1,1,25,2,3,4,2,0,3,"No"
24,"Travel_Rarely",691,23,2,"Male",89,4,1,4,"Married",2725,21630,1,"Yes",11,3,2,2,6,3,3,6,5,1,4,"No"
29,"Travel_Rarely",1396,10,3,"Male",99,3,1,3,"Single",2642,2755,1,"No",11,3,3,0,1,6,3,1,0,0,0,"No"
27,"Travel_Frequently",994,8,4,"Male",37,3,3,3,"Single",8726,2975,1,"No",15,3,4,0,9,0,3,9,8,1,7,"No"
36,"Non-Travel",1229,8,1,"Male",84,3,2,4,"Divorced",5079,25952,4,"No",13,3,4,2,12,3,3,7,7,0,7,"No"
32,"Travel_Rarely",234,1,2,"Male",68,2,1,2,"Married",2269,18024,0,"No",14,3,2,1,3,2,3,2,2,2,2,"No"
49,"Travel_Frequently",279,8,3,"Male",61,2,2,2,"Married",5130,24907,1,"No",23,4,4,1,10,3,3,10,7,1,7,"No"
51,"Travel_Rarely",1169,7,2,"Male",34,2,2,3,"Married",6132,13983,2,"No",17,3,3,0,10,2,3,1,0,0,0,"No"
24,"Non-Travel",1269,4,1,"Male",46,2,1,4,"Married",3162,10778,0,"No",17,3,4,0,6,2,2,5,2,3,4,"No"
31,"Travel_Rarely",688,7,3,"Male",44,2,3,4,"Divorced",11557,25291,9,"No",21,4,3,1,10,3,2,5,4,0,1,"No"
39,"Travel_Rarely",116,24,1,"Male",52,3,2,4,"Single",4108,5340,7,"No",13,3,1,0,18,2,3,7,7,1,7,"No"
46,"Travel_Rarely",1450,15,4,"Male",52,3,5,2,"Married",19081,10849,5,"No",11,3,1,1,25,2,3,4,2,0,3,"No"
37,"Travel_Rarely",674,13,1,"Male",47,3,2,4,"Married",4285,3031,1,"No",17,3,1,0,10,2,3,10,8,3,7,"No"
34,"Travel_Rarely",404,2,3,"Female",98,3,2,4,"Single",6687,6163,1,"No",11,3,4,0,14,2,4,14,11,4,11,"No"
28,"Travel_Rarely",1083,29,3,"Male",96,1,2,2,"Married",6549,3173,1,"No",14,3,2,2,8,2,2,8,6,1,7,"No"
28,"Travel_Rarely",440,21,3,"Male",42,3,1,4,"Married",2713,6672,1,"No",11,3,3,1,5,2,1,5,2,0,2,"No"
27,"Travel_Rarely",1220,5,3,"Female",85,3,1,2,"Single",2478,20938,1,"Yes",12,3,2,0,4,2,2,4,3,1,2,"No"
34,"Travel_Frequently",135,19,3,"Female",46,3,2,2,"Divorced",4444,22534,4,"No",13,3,3,2,15,2,4,11,8,5,10,"No"
47,"Travel_Rarely",1180,25,1,"Male",84,3,3,3,"Single",8633,13084,2,"No",23,4,2,0,25,3,3,17,14,12,11,"No"
41,"Travel_Rarely",1206,23,4,"Male",80,3,3,3,"Single",7082,11591,3,"Yes",16,3,4,0,21,2,3,2,0,0,2,"No"
43,"Travel_Rarely",1273,2,4,"Female",72,4,1,3,"Divorced",2645,21923,1,"No",12,3,4,2,6,3,2,5,3,1,4,"No"
55,"Travel_Rarely",1136,1,2,"Male",81,4,4,4,"Divorced",14732,12414,2,"No",13,3,4,2,31,4,4,7,7,0,0,"No"
45,"Travel_Rarely",1005,28,4,"Female",48,2,4,2,"Single",16704,17119,1,"No",11,3,3,0,21,2,3,21,6,8,6,"No"
31,"Travel_Rarely",1112,5,1,"Female",67,3,2,4,"Married",5476,22589,1,"No",11,3,1,2,10,2,3,10,0,0,2,"No"
39,"Non-Travel",792,1,4,"Male",77,3,2,4,"Married",6472,8989,1,"Yes",15,3,4,1,9,2,3,9,8,5,8,"No"
37,"Non-Travel",728,1,1,"Female",80,3,3,4,"Divorced",13603,11677,2,"Yes",18,3,1,2,15,2,3,5,2,0,2,"No"
30,"Travel_Rarely",438,18,1,"Female",75,3,1,3,"Single",2632,23910,1,"No",14,3,3,0,5,4,2,5,4,0,4,"No"
37,"Non-Travel",1252,19,1,"Male",32,3,3,2,"Single",7642,4814,1,"Yes",13,3,4,0,10,2,3,10,0,0,9,"No"
27,"Travel_Rarely",1103,14,1,"Male",42,3,1,1,"Married",2235,14377,1,"Yes",14,3,4,2,9,3,2,9,7,6,8,"No"
31,"Travel_Rarely",196,29,1,"Female",91,2,2,4,"Married",5468,13402,1,"No",14,3,1,2,13,3,3,12,7,5,7,"No"
49,"Travel_Rarely",1313,11,4,"Female",80,3,2,4,"Single",4507,8191,3,"No",12,3,3,0,8,1,4,5,1,0,4,"No"
31,"Travel_Rarely",1398,8,4,"Female",96,4,1,2,"Single",2109,24609,9,"No",18,3,4,0,8,3,3,3,2,0,2,"No"
55,"Travel_Rarely",282,2,4,"Female",58,1,5,3,"Married",19187,6992,4,"No",14,3,4,1,23,5,3,19,9,9,11,"No"
48,"Travel_Rarely",855,4,4,"Male",54,3,3,4,"Single",7898,18706,1,"No",11,3,3,0,11,2,3,10,9,0,8,"No"
58,"Non-Travel",350,2,2,"Male",52,3,4,2,"Divorced",16291,22577,4,"No",22,4,4,1,37,0,2,16,9,14,14,"No"
55,"Travel_Rarely",478,2,3,"Male",60,2,5,1,"Married",19038,19805,8,"No",12,3,2,3,34,2,3,1,0,0,0,"No"
27,"Travel_Rarely",1054,8,3,"Female",67,3,1,4,"Single",3445,6152,1,"No",11,3,3,0,6,5,2,6,2,1,4,"No"
24,"Travel_Rarely",823,17,4,"Male",94,2,1,2,"Married",2127,9100,1,"No",21,4,4,1,1,2,3,1,0,0,0,"No"
38,"Travel_Rarely",130,2,4,"Male",32,3,3,2,"Single",7351,20619,7,"No",16,3,3,0,10,2,3,1,0,0,0,"No"
29,"Travel_Rarely",441,8,3,"Female",39,1,2,1,"Married",9715,7288,3,"No",13,3,3,1,9,3,3,7,7,0,7,"No"
38,"Travel_Frequently",1189,1,4,"Male",90,3,2,4,"Married",4735,9867,7,"No",15,3,4,2,19,4,4,13,11,2,9,"No"
28,"Travel_Rarely",1476,16,2,"Male",68,4,2,1,"Single",5661,4824,0,"No",19,3,3,0,9,2,3,8,3,0,7,"No"
58,"Non-Travel",350,2,2,"Male",52,3,4,2,"Divorced",16291,22577,4,"No",22,4,4,1,37,0,2,16,9,14,14,"No"
37,"Travel_Rarely",571,10,4,"Female",82,3,1,1,"Divorced",2782,19905,0,"Yes",13,3,2,2,6,3,2,5,3,4,3,"No"
36,"Non-Travel",301,15,4,"Male",88,1,2,4,"Divorced",5406,10436,1,"No",24,4,1,1,15,4,2,15,12,11,11,"No"
27,"Travel_Rarely",199,6,4,"Male",55,2,1,3,"Married",2539,7950,1,"No",13,3,3,1,4,0,3,4,2,2,2,"No"
29,"Travel_Rarely",592,7,4,"Male",59,3,1,1,"Single",2062,19384,3,"No",14,3,2,0,11,2,3,3,2,1,2,"No"
44,"Travel_Frequently",1193,2,2,"Male",86,3,3,3,"Single",10209,19719,5,"Yes",18,3,2,0,16,2,2,2,2,2,2,"No"
31,"Travel_Rarely",1232,7,3,"Female",39,3,3,4,"Single",7143,25713,1,"Yes",14,3,3,0,11,2,2,11,9,4,10,"No"
59,"Travel_Rarely",1324,3,3,"Female",81,4,1,1,"Married",2670,9964,4,"Yes",20,4,1,3,12,3,2,1,0,0,0,"No"
38,"Non-Travel",152,10,3,"Female",85,3,2,4,"Single",5666,19899,1,"Yes",13,3,2,0,6,1,3,5,3,1,3,"No"
42,"Travel_Rarely",1128,13,2,"Male",95,4,2,1,"Married",5538,5696,5,"No",18,3,3,2,10,2,2,0,0,0,0,"No"
30,"Travel_Rarely",202,2,3,"Male",72,3,1,2,"Married",2476,17434,1,"No",18,3,1,1,1,3,3,1,0,0,0,"No"
38,"Travel_Frequently",693,7,4,"Male",57,4,1,3,"Divorced",2610,15748,1,"No",11,3,4,3,4,2,3,4,2,0,3,"No"
34,"Travel_Rarely",810,8,2,"Male",92,4,2,3,"Married",6799,22128,1,"No",21,4,3,2,10,5,3,10,8,4,8,"No"
45,"Travel_Rarely",556,25,2,"Female",93,2,2,4,"Married",5906,23888,0,"No",13,3,4,2,10,2,2,9,8,3,8,"No"
36,"Non-Travel",1434,8,1,"Male",76,2,3,1,"Single",7587,14229,1,"No",15,3,2,0,10,1,3,10,7,0,9,"No"
37,"Travel_Rarely",589,9,2,"Male",46,2,2,2,"Married",4189,8800,1,"No",14,3,1,2,5,2,3,5,2,0,3,"No"
34,"Travel_Rarely",216,1,2,"Male",75,4,2,4,"Divorced",9725,12278,0,"No",11,3,4,1,16,2,2,15,1,0,9,"No"
40,"Non-Travel",1142,8,4,"Male",72,3,2,4,"Divorced",4069,8841,3,"Yes",18,3,3,0,8,2,3,2,2,2,2,"No"
